Name,URI,Popularity,Genres,Followers
Steve Lacy,spotify:artist:57vWImR43h4CaDao012Ofp,77,['afrofuturism'],4536831
Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,84,"['irish singer-songwriter', 'modern rock', 'pov: indie']",7027254
James Arthur,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,78,"['pop', 'talent show', 'uk pop']",16733613
The Walters,spotify:artist:027TpXKGwdXP7iwbjUSpV8,68,"['chicago indie', 'pov: indie']",695614
Øneheart,spotify:artist:0dgJbQ0bKPyUXco8hEXN7X,72,['hardwave'],664326
Mora,spotify:artist:0Q8NcsJwoCbZOHHW63su5S,79,"['trap latino', 'urbano latino']",4818813
Daryl Hall & John Oates,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,73,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",2385442
Don Omar,spotify:artist:33ScadVnbm2X8kkUqOkC6Z,80,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",11357116
LiSA,spotify:artist:0blbVefuxOGltDBa00dspv,64,"['anime', 'anime rock', 'j-pixie', 'j-pop']",3107584
Coolio,spotify:artist:3y24n3XhZ96wgwRXjvS17T,65,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']",1101102
Avicii,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,78,"['dance pop', 'edm', 'pop', 'pop dance']",22688264
XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4,83,"['emo rap', 'miami hip hop', 'rap']",44554217
Conan Gray,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea,76,"['bedroom pop', 'pop', 'pov: indie']",9581298
Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,81,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",17057168
Luke Combs,spotify:artist:718COspgdWOnwOFpJHRZHS,81,"['contemporary country', 'country']",10449017
